Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500
